Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8568417,"The Commitment: Love, Sex, Marriage, and My Family",Dan Savage,"Savage, Dan",,"=""""","=""""",5,3.95,,Kindle Edition,316,,2005,,2016/10/16,nonfiction,nonfiction (#4),read,,,,1,,,0,,,,,
15838762,North and South,Elizabeth Gaskell,"Gaskell, Elizabeth",,"=""""","=""""",2,4.13,,Kindle Edition,406,2012,1854,,2016/10/16,fiction,fiction (#7),read,,,,1,,,0,,,,,
13573220,Death Comes to Pemberley,P.D. James,"James, P.D.",,"=""0307950654""","=""9780307950659""",2,3.21,Vintage,Paperback,304,2013,2012,,2016/10/16,fiction,fiction (#8),read,,,,1,,,0,,,,,
17277775,Pacific Rim: Tales From Year Zero,Travis Beacham,"Beacham, Travis","Sean Chen, Yvel Guichet, Pericles Junior","=""0785153942""","=""9780785153948""",5,3.78,Legendary Comics,Hardcover,112,2013,2013,,2016/10/16,"favorites, comic-books","favorites (#10), comic-books (#1)",read,,,,1,,,0,,,,,
16078215,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,3.99,William Morrow,Kindle Edition,259,2013,2013,,2016/10/16,"to-read, fiction","to-read (#2), fiction (#9)",to-read,,,,0,,,0,,,,,
18775263,The Secret Diary of Lizzie Bennet: A Novel,Bernie Su,"Su, Bernie",Kate Rorick,"=""147676316X""","=""9781476763163""",3,4.00,Touchstone,Paperback,400,2014,2014,,2016/10/16,fiction,fiction (#10),read,,,,1,,,0,,,,,
9444,The Complete Collected Poems,Maya Angelou,"Angelou, Maya",,"=""067942895X""","=""9780679428954""",0,4.40,Random House,Hardcover,273,1994,1986,,2016/10/16,"to-read, poetry","to-read (#1), poetry (#1)",to-read,,,,0,,,0,,,,,
9667124,The Emperor of All Maladies,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",5,4.29,Scribner,Kindle Edition,592,2010,2010,,2016/10/16,"favorites, nonfiction","favorites (#11), nonfiction (#5)",read,,,,1,,,0,,,,,
22846819,Isabella: The Warrior Queen,Kirstin Downey,"Downey, Kirstin",,"=""""","=""""",5,4.09,Nan A. Talese,Kindle Edition,434,2014,2014,,2016/10/16,"favorites, nonfiction","favorites (#20), nonfiction (#6)",read,,,,1,,,0,,,,,
18108877,"Timebound (The Chronos Files, #1)",Rysa Walker,"Walker, Rysa",,"=""""","=""""",3,3.87,Skyscape,Kindle Edition,366,2014,2012,,2016/10/16,ya,ya (#47),read,,,,1,,,0,,,,,
24881421,Sacrificed (The Last Oracle Book 1),Emily Wibberley,"Wibberley, Emily",,"=""""","=""""",4,3.82,Paranoid Productions,Kindle Edition,350,2015,2014,,2016/10/16,ya,ya (#48),read,,,,1,,,0,,,,,
25846699,"Forsworn (The Last Oracle, #2)",Emily Wibberley,"Wibberley, Emily",,"=""""","=""""",5,4.12,Paranoid Productions,Kindle Edition,410,2015,2015,,2016/10/16,ya,ya (#49),read,,,,1,,,0,,,,,
10359696,Parties in Congress,Colette Moody,"Moody, Colette",,"=""1602822026""","=""9781602822023""",5,4.00,Bold Strokes Books,Paperback,264,2011,2011,,2016/10/16,"favorites, fiction","favorites (#12), fiction (#11)",read,,,,1,,,0,,,,,
17465574,Blue Is the Warmest Color,Julie Maroh,"Maroh, Julie",Ivanka Hahnenberger,"=""1551525143""","=""9781551525143""",5,3.92,Arsenal Pulp Press,Paperback,156,2013,2010,,2016/10/16,comic-books,comic-books (#2),read,,,,1,,,0,,,,,
16097463,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",5,4.11,Open Road,Kindle Edition,260,2012,1987,,2016/10/16,fiction,fiction (#12),read,,,,1,,,0,,,,,
25429485,Sisters in Law: How Sandra Day O'Connor and Ruth Bader Ginsburg Went to the Supreme Court and Changed the World,Linda Hirshman,"Hirshman, Linda",,"=""""","=""""",5,3.81,Harper,Kindle Edition,421,2015,2015,,2016/10/16,"favorites, nonfiction","favorites (#13), nonfiction (#7)",read,,,,1,,,0,,,,,
13722677,The Yiddish Policemen's Union,Michael Chabon,"Chabon, Michael",,"=""""","=""""",5,3.69,Harper,Kindle Edition,464,2012,2007,,2016/10/16,fiction,fiction (#13),read,,,,1,,,0,,,,,
18955401,Fic: Why Fanfiction Is Taking Over the World,Anne Jamison,"Jamison, Anne",Lev Grossman,"=""1939529204""","=""9781939529206""",4,3.59,Smart Pop,ebook,297,2013,2013,,2016/10/16,nonfiction,nonfiction (#8),read,,,,1,,,0,,,,,
22294935,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.46,Henry Holt and Company,Kindle Edition,462,2015,2015,,2016/10/16,ya,ya (#50),read,,,,1,,,0,,,,,
8194647,To Say Nothing of the Dog,Connie Willis,"Willis, Connie",,"=""""","=""""",2,4.13,Bantam,Kindle Edition,493,2009,1998,,2016/10/16,ya,ya (#51),read,,,,1,,,0,,,,,
25422234,Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,"Carmon, Irin",Shana Knizhnik,"=""0062415832""","=""9780062415837""",5,4.22,Dey Street Books,Hardcover,227,2015,2015,,2016/10/16,"favorites, nonfiction","favorites (#14), nonfiction (#9)",read,,,,1,,,0,,,,,
13051719,Substitute for Love,Karin Kallmaker,"Kallmaker, Karin",,"=""""","=""""",3,3.82,,Kindle Edition,288,,2001,,2016/10/16,fiction,fiction (#14),read,,,,1,,,0,,,,,
28953803,"Lumberjanes, Vol. 5: Band Together",Noelle Stevenson,"Stevenson, Noelle","Shannon Watters, Carolyn Nowak, Grace Ellis, Brooke A. Allen","=""1608869199""","=""9781608869190""",5,4.01,BOOM! Box,Paperback,112,2016,2016,,2016/10/16,comic-books,comic-books (#3),read,,,,1,,,0,,,,,
27248586,"Lumberjanes, Vol. 4: Out of Time",Noelle Stevenson,"Stevenson, Noelle","Shannon Watters, Grace Ellis, Maarta Laiho, Aubrey Aiese, Brooke A. Allen","=""1608868605""","=""9781608868605""",5,4.31,BOOM! Box,Paperback,112,2016,2016,,2016/10/16,comic-books,comic-books (#4),read,,,,1,,,0,,,,,
25761329,"Lumberjanes, Vol. 3: A Terrible Plan",Noelle Stevenson,"Stevenson, Noelle","Shannon Watters, Carolyn Nowak, Maarta Laiho, Aubrey Aiese, Brittney Williams, Aimee Fleck, Faith Erin Hicks, Rebecca Tobin, Felicia Choo, T. Zysk","=""1608868036""","=""9781608868032""",5,4.10,BOOM! Box,Paperback,112,2016,2016,,2016/10/16,comic-books,comic-books (#5),read,,,,1,,,0,,,,,
24886016,"Lumberjanes, Vol. 2:  Friendship to the Max",Noelle Stevenson,"Stevenson, Noelle","Grace Ellis, Shannon Watters, Maarta Laiho, Brooke A. Allen","=""1608867374""","=""9781608867370""",5,4.20,BOOM! Box,Paperback,126,2015,2015,,2016/10/16,comic-books,comic-books (#6),read,,,,1,,,0,,,,,
25074849,"Bitch Planet, Vol. 1: Extraordinary Machine",Kelly Sue DeConnick,"DeConnick, Kelly Sue","Valentine De Landro, Robert Wilson IV","=""1632153661""","=""9781632153661""",3,4.09,Image Comics,Paperback,156,2015,2015,,2016/10/16,comic-books,comic-books (#7),read,,,,1,,,0,,,,,
22554204,"Lumberjanes, Vol. 1: Beware the Kitten Holy",Noelle Stevenson,"Stevenson, Noelle","Grace Ellis, Faith Hicks, Brooke A. Allen, Shannon Watters, Kat Leyh, Brooke Allen, Carolyn Nowak, Various, Carey Pietsch","=""1608866874""","=""9781608866878""",5,3.94,BOOM! Box,Paperback,128,2015,2015,,2016/10/16,"favorites, comic-books","favorites (#15), comic-books (#8)",read,,,,1,,,0,,,,,
29555236,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,Margot Lee Shetterly,"Shetterly, Margot Lee",,"=""""","=""""",5,3.92,William Morrow,Kindle Edition,373,2016,2016,2016/11/12,2016/10/16,"favorites, nonfiction","favorites (#16), nonfiction (#10)",read,,,,1,,,0,,,,,
28937572,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.62,Henry Holt and Company,Kindle Edition,560,2016,2016,,2016/10/16,ya,ya (#52),read,,,,1,,,0,,,,,
29911668,Where Am I Now?: True Stories of Girlhood and Accidental Fame,Mara Wilson,"Wilson, Mara",,"=""""","=""""",5,3.88,Penguin Books,Kindle Edition,265,2016,2016,,2016/10/16,"favorites, nonfiction","favorites (#18), nonfiction (#11)",read,,,,1,,,0,,,,,
28648863,Juliet Takes a Breath,Gabby Rivera,"Rivera, Gabby",,"=""""","=""""",5,4.27,Riverdale Avenue Books,Kindle Edition,276,2016,2016,,2016/10/16,"favorites, fiction","favorites (#17), fiction (#15)",read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",5,3.94,Alfred A. Knopf,Hardcover,399,1996,1995,,2016/10/16,ya,ya (#53),read,,,,1,,,0,,,,,
11595276,The Miseducation of Cameron Post,Emily M. Danforth,"Danforth, Emily M.",,"=""0062020560""","=""9780062020567""",5,3.99,Balzer + Bray,Hardcover,470,2012,2012,,2016/10/16,fiction,fiction (#16),read,,,,1,,,0,,,,,
